Lap 5: Rain 0% -> Compound 'Medium', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '69.21' Kg, PitStop 'No', Time '01:25.344' ms
Lap 6: Rain 0% -> Compound 'Medium', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '67.33' Kg, PitStop 'No', Time '01:25.278' ms
Lap 7: Rain 0% -> Compound 'Medium', TyresAge 3, Wear '3.0'% | '3.0'% | '3.0'% | '2.0'%, Fuel '65.44' Kg, PitStop 'No', Time '01:25.198' ms
Lap 8: Rain 0% -> Compound 'Medium', TyresAge 4, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '63.55' Kg, PitStop 'No', Time '01:25.142' ms
Lap 9: Rain 0% -> Compound 'Medium', TyresAge 5, Wear '6.0'% | '6.0'% | '5.0'% | '4.0'%, Fuel '61.66' Kg, PitStop 'No', Time '01:25.086' ms
Lap 10: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '59.77' Kg, PitStop 'Yes', Time '01:49.132' ms
Lap 11: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '57.88' Kg, PitStop 'Yes', Time '01:49.018' ms
Lap 12: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '55.99' Kg, PitStop 'No', Time '01:24.014' ms
Lap 13: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '54.11' Kg, PitStop 'No', Time '01:24.010' ms
Lap 14: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '52.22' Kg, PitStop 'Yes', Time '01:48.678' ms
Lap 15: Rain 0% -> Compound 'Soft', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '50.33' Kg, PitStop 'Yes', Time '01:48.566' ms
Lap 16: Rain 0% -> Compound 'Soft', TyresAge 1, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '48.44' Kg, PitStop 'No', Time '01:23.562' ms
Lap 17: Rain 0% -> Compound 'Soft', TyresAge 2, Wear '5.0'% | '4.0'% | '4.0'% | '3.0'%, Fuel '46.55' Kg, PitStop 'No', Time '01:23.556' ms
Lap 18: Rain 0% -> Compound 'Soft', TyresAge 3, Wear '7.0'% | '7.0'% | '6.0'% | '5.0'%, Fuel '44.66' Kg, PitStop 'No', Time '01:23.566' ms
Lap 19: Rain 0% -> Compound 'Soft', TyresAge 4, Wear '10.0'% | '9.0'% | '8.0'% | '6.0'%, Fuel '42.77' Kg, PitStop 'No', Time '01:23.562' ms
Lap 20: Rain 5% -> Compound 'Soft', TyresAge 5, Wear '12.0'% | '11.0'% | '9.0'% | '8.0'%, Fuel '40.89' Kg, PitStop 'No', Time '01:23.546' ms
Lap 21: Rain 10% -> Compound 'Soft', TyresAge 6, Wear '15.0'% | '13.0'% | '11.0'% | '9.0'%, Fuel '39.0' Kg, PitStop 'No', Time '01:23.544' ms
Lap 22: Rain 15% -> Compound 'Hard', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '37.11' Kg, PitStop 'Yes', Time '01:49.337' ms
Lap 23: Rain 20% -> Compound 'Hard', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '35.22' Kg, PitStop 'No', Time '01:24.247' ms
Lap 24: Rain 25% -> Compound 'Hard', TyresAge 2, Wear '3.0'% | '3.0'% | '2.0'% | '2.0'%, Fuel '33.33' Kg, PitStop 'No', Time '01:24.170' ms
Lap 25: Rain 30% -> Compound 'Hard', TyresAge 3, Wear '4.0'% | '4.0'% | '3.0'% | '3.0'%, Fuel '32.39' Kg, PitStop 'No', Time '01:24.137' ms
Lap 26: Rain 35% -> Compound 'Medium', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '31.44' Kg, PitStop 'Yes', Time '01:52.116' ms
Lap 27: Rain 40% -> Compound 'Medium', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '30.5' Kg, PitStop 'No', Time '01:28.533' ms
Lap 28: Rain 45% -> Compound 'Medium', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '29.55' Kg, PitStop 'No', Time '01:30.450' ms
Lap 29: Rain 50% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '28.61' Kg, PitStop 'Yes', Time '01:53.262' ms
Lap 30: Rain 55% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '28.61' Kg, PitStop 'Yes', Time '01:56.262' ms
Lap 31: Rain 60% -> Compound 'Wet', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '28.61' Kg, PitStop 'No', Time '01:31.276' ms
Lap 32: Rain 65% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '28.61' Kg, PitStop 'Yes', Time '01:56.262' ms
Lap 33: Rain 70% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '28.61' Kg, PitStop 'Yes', Time '01:53.262' ms
Lap 34: Rain 75% -> Compound 'Inter', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '28.61' Kg, PitStop 'Yes', Time '01:53.262' ms
Lap 35: Rain 80% -> Compound 'Inter', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '28.61' Kg, PitStop 'No', Time '01:28.284' ms
Lap 36: Rain 85% -> Compound 'Inter', TyresAge 2, Wear '2.0'% | '2.0'% | '2.0'% | '2.0'%, Fuel '28.61' Kg, PitStop 'No', Time '01:28.306' ms
Lap 37: Rain 90% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '28.61' Kg, PitStop 'Yes', Time '01:56.262' ms
Lap 38: Rain 95% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '28.61' Kg, PitStop 'Yes', Time '01:56.262' ms
Lap 39: Rain 100% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '28.61' Kg, PitStop 'Yes', Time '01:56.262' ms
Lap 40: Rain 100% -> Compound 'Wet', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '28.61' Kg, PitStop 'No', Time '01:31.276' ms
Lap 41: Rain 100% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '28.61' Kg, PitStop 'Yes', Time '01:56.262' ms
Lap 42: Rain 100% -> Compound 'Wet', TyresAge 1, Wear '1.0'% | '1.0'% | '1.0'% | '1.0'%, Fuel '28.61' Kg, PitStop 'No', Time '01:31.276' ms
Lap 43: Rain 100% -> Compound 'Wet', TyresAge 0, Wear '0.0'% | '0.0'% | '0.0'% | '0.0'%, Fuel '28.61' Kg, PitStop 'Yes', Time '01:56.262' ms
