FrameIdentifier,TyresWearRL,TyresWearRR,TyresWearFL,TyresWearFR,TyresDamageRL,TyresDamageRR,TyresDamageFL,TyresDamageFR,NumLaps,NumTyreStints,BestLapTimeLapNum,BestSector1LapNum,BestSector2LapNum,BestSector3LapNum,lapTimeInMS[0],sector1TimeInMS[0],sector2TimeInMS[0],sector3TimeInMS[0],lapValidBitFlags[0],lapTimeInMS[1],sector1TimeInMS[1],sector2TimeInMS[1],sector3TimeInMS[1],lapValidBitFlags[1],lapTimeInMS[2],sector1TimeInMS[2],sector2TimeInMS[2],sector3TimeInMS[2],lapValidBitFlags[2],lapTimeInMS[3],sector1TimeInMS[3],sector2TimeInMS[3],sector3TimeInMS[3],lapValidBitFlags[3],lapTimeInMS[4],sector1TimeInMS[4],sector2TimeInMS[4],sector3TimeInMS[4],lapValidBitFlags[4],lapTimeInMS[5],sector1TimeInMS[5],sector2TimeInMS[5],sector3TimeInMS[5],lapValidBitFlags[5],lapTimeInMS[6],sector1TimeInMS[6],sector2TimeInMS[6],sector3TimeInMS[6],lapValidBitFlags[6],lapTimeInMS[7],sector1TimeInMS[7],sector2TimeInMS[7],sector3TimeInMS[7],lapValidBitFlags[7],lapTimeInMS[8],sector1TimeInMS[8],sector2TimeInMS[8],sector3TimeInMS[8],lapValidBitFlags[8],lapTimeInMS[9],sector1TimeInMS[9],sector2TimeInMS[9],sector3TimeInMS[9],lapValidBitFlags[9],lapTimeInMS[10],sector1TimeInMS[10],sector2TimeInMS[10],sector3TimeInMS[10],lapValidBitFlags[10],lapTimeInMS[11],sector1TimeInMS[11],sector2TimeInMS[11],sector3TimeInMS[11],lapValidBitFlags[11],lapTimeInMS[12],sector1TimeInMS[12],sector2TimeInMS[12],sector3TimeInMS[12],lapValidBitFlags[12],lapTimeInMS[13],sector1TimeInMS[13],sector2TimeInMS[13],sector3TimeInMS[13],lapValidBitFlags[13],lapTimeInMS[14],sector1TimeInMS[14],sector2TimeInMS[14],sector3TimeInMS[14],lapValidBitFlags[14],lapTimeInMS[15],sector1TimeInMS[15],sector2TimeInMS[15],sector3TimeInMS[15],lapValidBitFlags[15],lapTimeInMS[16],sector1TimeInMS[16],sector2TimeInMS[16],sector3TimeInMS[16],lapValidBitFlags[16],lapTimeInMS[17],sector1TimeInMS[17],sector2TimeInMS[17],sector3TimeInMS[17],lapValidBitFlags[17],lapTimeInMS[18],sector1TimeInMS[18],sector2TimeInMS[18],sector3TimeInMS[18],lapValidBitFlags[18],lapTimeInMS[19],sector1TimeInMS[19],sector2TimeInMS[19],sector3TimeInMS[19],lapValidBitFlags[19],lapTimeInMS[20],sector1TimeInMS[20],sector2TimeInMS[20],sector3TimeInMS[20],lapValidBitFlags[20],endLap[0],tyreActualCompound[0],tyreVisualCompound[0],endLap[1],tyreActualCompound[1],tyreVisualCompound[1],LastLapTimeInMS,CurrentLapTimeInMS,Sector1TimeInMS,Sector2TimeInMS,LapDistance,TotalDistance,CurrentLapNum,Sector,PitStopShouldServePen,DriverStatus,WorldPositionX,WorldPositionY,WorldPositionZ,RLWheelSlip,RRWheelSlip,FLWheelSlip,FRWheelSlip,Pitch,Roll,Weather,TrackTemperature,AirTemperature,TotalLaps,TrackLength,SessionType,TrackId,Formula,SessionTimeLeft,SessionDuration,NumMarshalZones,ZoneStart[0],ZoneFlag[0],ZoneStart[1],ZoneFlag[1],ZoneStart[2],ZoneFlag[2],ZoneStart[3],ZoneFlag[3],ZoneStart[4],ZoneFlag[4],ZoneStart[5],ZoneFlag[5],ZoneStart[6],ZoneFlag[6],ZoneStart[7],ZoneFlag[7],ZoneStart[8],ZoneFlag[8],ZoneStart[9],ZoneFlag[9],ZoneStart[10],ZoneFlag[10],ZoneStart[11],ZoneFlag[11],ZoneStart[12],ZoneFlag[12],ZoneStart[13],ZoneFlag[13],ZoneStart[14],ZoneFlag[14],SafetyCarStatus,NumWeatherForecastSamples,ForecastAccuracy,PitStopWindowIdealLap,PitStopWindowLatestLap,PitStopRejoinPosition,FrontWing,RearWing,OnThrottle,OffThrottle,FrontCamber,RearCamber,FrontToe,RearToe,FrontSuspension,RearSuspension,FrontAntiRollBar,RearAntiRollBar,FrontSuspensionHeight,RearSuspensionHeight,BrakePressure,BrakeBias,RearLeftTyrePressure,RearRightTyrePressure,FrontLeftTyrePressure,FrontRightTyrePressure,Ballast,FuelLoad,FuelInTank,FuelCapacity,FuelRemainingLaps,ActualTyreCompound,VisualTyreCompound,TyresAgeLaps,VehicleFIAFlags,ERSStoreEnergy,ERSDeployMode,ERSHarvestedThisLapMGUK,ERSHarvestedThisLapMGUH,ERSDeployedThisLap,Speed,Throttle,Brake,Gear,EngineRPM,DRS,RLBrakeTemperature,RRBrakeTemperature,FLBrakeTemperature,FRBrakeTemperature,RLTyreSurfaceTemperature,RRTyreSurfaceTemperature,FLTyreSurfaceTemperature,FRTyreSurfaceTemperature,RLTyreInnerTemperature,RRTyreInnerTemperature,FLTyreInnerTemperature,FRTyreInnerTemperature,EngineTemperature,RLTyrePressure,RRTyrePressure,FLTyrePressure,FRTyrePressure
16772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74488.0,47424.0,21421.0,23586.0,2659.167969,42002.1875,10.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,26.0,17.0,200.0,4371.0,2.0,6.0,0.0,2757.0,3600.0,15.0,0.0,0.0,0.091153,0.0,0.136148,0.0,0.195091,0.0,0.237153,0.0,0.272685,0.0,0.318013,0.0,0.387488,0.0,0.437237,0.0,0.491194,0.0,0.583338,0.0,0.650375,0.0,0.736616,0.0,0.858703,0.0,0.92139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,26.0,17.0,200.0,4371.0,2.0,6.0,0.0,2757.0,3600.0,15.0,0.0,0.0,0.091153,0.0,0.136148,0.0,0.195091,0.0,0.237153,0.0,0.272685,0.0,0.318013,0.0,0.387488,0.0,0.437237,0.0,0.491194,0.0,0.583338,0.0,0.650375,0.0,0.736616,0.0,0.858703,0.0,0.92139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,70.0,55.0,-2.5,-2.0,0.06,0.2,4.0,7.0,4.0,6.0,4.0,6.0,95.0,55.0,23.1,23.1,21.799999,21.799999,6.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74488.0,48724.0,21421.0,23586.0,2691.410156,42034.429688,10.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,26.0,17.0,200.0,4371.0,2.0,6.0,0.0,2756.0,3600.0,15.0,0.0,0.0,0.091153,0.0,0.136148,0.0,0.195091,0.0,0.237153,0.0,0.272685,0.0,0.318013,0.0,0.387488,0.0,0.437237,0.0,0.491194,0.0,0.583338,0.0,0.650375,0.0,0.736616,0.0,0.858703,0.0,0.92139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,70.0,55.0,-2.5,-2.0,0.06,0.2,4.0,7.0,4.0,6.0,4.0,6.0,95.0,55.0,23.1,23.1,21.799999,21.799999,6.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16800,,,,,,,,,10.0,1.0,4.0,4.0,7.0,4.0,74892.0,21120.0,23724.0,30048.0,15.0,74507,21031,23425,30049,15,74508,20977,23764,29767,15,73766,20807,23400,29557,15,74780,21293,23185,30300,15,74368,20997,23234,30136,15,74414,20922,23016,30475,15,74330,20910,23522,29897,15,74488,20926,23493,30068,15,0,21421,23586,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74488.0,49347.0,21421.0,23586.0,2703.636719,42046.65625,10.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74488.0,49963.0,21421.0,23586.0,2719.328125,42062.347656,10.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,26.0,17.0,200.0,4371.0,2.0,6.0,0.0,2755.0,3600.0,15.0,0.0,0.0,0.091153,0.0,0.136148,0.0,0.195091,0.0,0.237153,0.0,0.272685,0.0,0.318013,0.0,0.387488,0.0,0.437237,0.0,0.491194,0.0,0.583338,0.0,0.650375,0.0,0.736616,0.0,0.858703,0.0,0.92139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,70.0,55.0,-2.5,-2.0,0.06,0.2,4.0,7.0,4.0,6.0,4.0,6.0,95.0,55.0,23.1,23.1,21.799999,21.799999,6.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,26.0,17.0,200.0,4371.0,2.0,6.0,0.0,2754.0,3600.0,15.0,0.0,0.0,0.091153,0.0,0.136148,0.0,0.195091,0.0,0.237153,0.0,0.272685,0.0,0.318013,0.0,0.387488,0.0,0.437237,0.0,0.491194,0.0,0.583338,0.0,0.650375,0.0,0.736616,0.0,0.858703,0.0,0.92139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74488.0,51549.0,21421.0,23586.0,2757.363281,42100.382812,10.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74488.0,51669.0,21421.0,23586.0,2760.507812,42103.527344,10.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,26.0,17.0,200.0,4371.0,2.0,6.0,0.0,2753.0,3600.0,15.0,0.0,0.0,0.091153,0.0,0.136148,0.0,0.195091,0.0,0.237153,0.0,0.272685,0.0,0.318013,0.0,0.387488,0.0,0.437237,0.0,0.491194,0.0,0.583338,0.0,0.650375,0.0,0.736616,0.0,0.858703,0.0,0.92139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16874,,,,,,,,,10.0,1.0,4.0,4.0,7.0,4.0,74892.0,21120.0,23724.0,30048.0,15.0,74507,21031,23425,30049,15,74508,20977,23764,29767,15,73766,20807,23400,29557,15,74780,21293,23185,30300,15,74368,20997,23234,30136,15,74414,20922,23016,30475,15,74330,20910,23522,29897,15,74488,20926,23493,30068,15,0,21421,23586,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,26.0,17.0,200.0,4371.0,2.0,6.0,0.0,2752.0,3600.0,15.0,0.0,0.0,0.091153,0.0,0.136148,0.0,0.195091,0.0,0.237153,0.0,0.272685,0.0,0.318013,0.0,0.387488,0.0,0.437237,0.0,0.491194,0.0,0.583338,0.0,0.650375,0.0,0.736616,0.0,0.858703,0.0,0.92139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74488.0,53255.0,21421.0,23586.0,2817.636719,42160.65625,10.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74488.0,53912.0,21421.0,23586.0,2851.609375,42194.628906,10.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74488.0,54656.0,21421.0,23586.0,2893.953125,42236.972656,10.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74488.0,57759.0,21421.0,23586.0,3108.953125,42451.972656,10.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16997,,,,,,,,,10.0,1.0,4.0,4.0,7.0,4.0,74892.0,21120.0,23724.0,30048.0,15.0,74507,21031,23425,30049,15,74508,20977,23764,29767,15,73766,20807,23400,29557,15,74780,21293,23185,30300,15,74368,20997,23234,30136,15,74414,20922,23016,30475,15,74330,20910,23522,29897,15,74488,20926,23493,30068,15,0,21421,23586,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74488.0,59771.0,21421.0,23586.0,3269.539062,42612.558594,10.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,26.0,17.0,200.0,4371.0,2.0,6.0,0.0,2745.0,3600.0,15.0,0.0,0.0,0.091153,0.0,0.136148,0.0,0.195091,0.0,0.237153,0.0,0.272685,0.0,0.318013,0.0,0.387488,0.0,0.437237,0.0,0.491194,0.0,0.583338,0.0,0.650375,0.0,0.736616,0.0,0.858703,0.0,0.92139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,70.0,55.0,-2.5,-2.0,0.06,0.2,4.0,7.0,4.0,6.0,4.0,6.0,95.0,55.0,23.1,23.1,21.799999,21.799999,6.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,26.0,17.0,200.0,4371.0,2.0,6.0,0.0,2744.0,3600.0,15.0,0.0,0.0,0.091153,0.0,0.136148,0.0,0.195091,0.0,0.237153,0.0,0.272685,0.0,0.318013,0.0,0.387488,0.0,0.437237,0.0,0.491194,0.0,0.583338,0.0,0.650375,0.0,0.736616,0.0,0.858703,0.0,0.92139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,26.0,17.0,200.0,4371.0,2.0,6.0,0.0,2744.0,3600.0,15.0,0.0,0.0,0.091153,0.0,0.136148,0.0,0.195091,0.0,0.237153,0.0,0.272685,0.0,0.318013,0.0,0.387488,0.0,0.437237,0.0,0.491194,0.0,0.583338,0.0,0.650375,0.0,0.736616,0.0,0.858703,0.0,0.92139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,70.0,55.0,-2.5,-2.0,0.06,0.2,4.0,7.0,4.0,6.0,4.0,6.0,95.0,55.0,23.1,23.1,21.799999,21.799999,6.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,26.0,17.0,200.0,4371.0,2.0,6.0,0.0,2743.0,3600.0,15.0,0.0,0.0,0.091153,0.0,0.136148,0.0,0.195091,0.0,0.237153,0.0,0.272685,0.0,0.318013,0.0,0.387488,0.0,0.437237,0.0,0.491194,0.0,0.583338,0.0,0.650375,0.0,0.736616,0.0,0.858703,0.0,0.92139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,70.0,55.0,-2.5,-2.0,0.06,0.2,4.0,7.0,4.0,6.0,4.0,6.0,95.0,55.0,23.1,23.1,21.799999,21.799999,6.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74488.0,62411.0,21421.0,23586.0,3492.726562,42835.746094,10.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74488.0,62528.0,21421.0,23586.0,3502.785156,42845.804688,10.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74488.0,62761.0,21421.0,23586.0,3523.070312,42866.089844,10.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17096,,,,,,,,,10.0,1.0,4.0,4.0,7.0,4.0,74892.0,21120.0,23724.0,30048.0,15.0,74507,21031,23425,30049,15,74508,20977,23764,29767,15,73766,20807,23400,29557,15,74780,21293,23185,30300,15,74368,20997,23234,30136,15,74414,20922,23016,30475,15,74330,20910,23522,29897,15,74488,20926,23493,30068,15,0,21421,23586,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74488.0,64228.0,21421.0,23586.0,3651.589844,42994.609375,10.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,26.0,17.0,200.0,4371.0,2.0,6.0,0.0,2741.0,3600.0,15.0,0.0,0.0,0.091153,0.0,0.136148,0.0,0.195091,0.0,0.237153,0.0,0.272685,0.0,0.318013,0.0,0.387488,0.0,0.437237,0.0,0.491194,0.0,0.583338,0.0,0.650375,0.0,0.736616,0.0,0.858703,0.0,0.92139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
